"Gene_Symbol","Andocsa"
"KATNAL2","1"
"CTNNA3","1"
"COCH","1.07279539676168"
"C1orf210","0.992476960692119"
"CERS3","1.00705794947994"
"DNAJC5B","1"
"GPSM1","1.01853411962932"
"FRYL","1.00184184675835"
"KLHL29","1.06095791001451"
"CKAP2","1.02159363556005"
"MORN1","0.999789473684211"
"C9orf43","1"
"NOCT","1.00344265265447"
"UHRF1BP1L","1.05438666137356"
"CYP19A1","1"
"WDR49","1"
"NPAS4","1"
"SVOPL","1"
"LHFPL3-AS1","1"
"LHFPL3-AS1","1"
"LIF-AS2","1"
"ITPKB","1.00229357798165"
"GABRA2","1.01107465135357"
"C6orf141","1.10967824310521"
"PGLS","1.00307755437013"
"DOCK2","1.00084245998315"
"LRRC18","0.987515349979533"
"SLCO4A1-AS1","0.97148389368069"
"FARP2","1.00358045492839"
"COG3","0.999789960092418"
"HELQ","1.07053550365652"
"STAP1","1"
"AQP12B","1"
"GIN1","1.00230414746544"
"DENND4A","0.990230905861456"
"SIAE","0.994002068252327"
"FCHSD2","1.00614250614251"
"BTG4","1.02169334456613"
"CALHM1","1"
"NT5C1B","1"
"NR1H4","1"
"LINC00656","1"
"PADI2","1.05798319327731"
"CST9","1"
"ACTR2","1.01528518670497"
"AZIN2","1.00042122999158"
"LYG2","1.00105263157895"
"LINC00161","1"
"TK1","0.987568730576142"
"TAF5L","0.992995972684293"
"SPOCK3","1"
"SMIM11","1.01837060702875"
"ZNF146","0.981780857069541"
"BEST1","1"
"BEST1","1"
"ZNF85","1.00062735257215"
"METTL26","0.924214245862005"
"MOXD1","0.996234309623431"
"C19orf47","1"
"ZNF808","0.978905359179019"
"CARD8","1.02106194690265"
"ARMC10","0.992911560119245"
"ATF6B","0.940703091910208"
"SERPINC1","1"
"THADA","0.999578947368421"
"MTHFSD","1.02198432422099"
"RGS7","1"
"OSCAR","1"
"NAALAD2","1.00358045492839"
"GHITM","1.02130715824755"
"CEP89","1.02262387802779"
"RNA5SP530","1"
"RNA5SP530","1"
"CD80","1.03411962931761"
"ZNF778-DT","1.00616860863605"
"OLFM3","1.00084175084175"
"CFAP91","1"
"RHOF","1.0033196641281"
"DNAH14","1.00021061499579"
"SLC25A48","1"
"SPAG9","0.978247734138973"
"MBP","1.17164070461494"
"APOBEC4","1"
"FAM13C","1"
"WDR20","1.01771894093686"
"SETD6","0.961869512824927"
"GPR62","1"
"DYNLRB1","1"
"SUV39H2","1.01755175517552"
"BPNT1","0.969985358711567"
"ETV4","1.01149590458399"
"PSMD10","1.02073555764144"
"MYO18B","1"
"LENG9","0.978642056690837"
"NKAIN2","1"
"CEP120","1.01452631578947"
"LIPT2-AS1","0.998660333698697"
"SERPINB8","1"
"ASCC1","1.05608624454148"
"ZNF57","0.999093997734994"
"EPHA7","1"
"ZFYVE16","1.04031930726559"
"RNF32","0.990007993605116"
"OSBPL1A","1.00021061499579"
"DUOXA1","1.00189553496209"
"RPRML","1.03685762426285"
"CFAP61","1"
"CNST","1.00021061499579"
"ZNF594-DT","1.01066499372647"
"METTL8","0.993945243945244"
"FAM151A","1"
"SRRM2","1.00047984644914"
"SYCE1","1"
"LAPTM4B","0.99790004199916"
"KCNS2","1.00021061499579"
"CCDC187","0.980297547245678"
"CEMIP","0.978584540077504"
"STAU2","1.00397572713957"
"NLGN4X","1"
"PACSIN2","1.01767711642038"
"L3MBTL4","1"
"CDH7","1"
"OR2L13","1"
"SPATA6L","1.02130770837685"
"KCNMB1","1"
"CALHM3","1.00944946589975"
"GLYATL2","1"
"RELL1","1.00042052144659"
"TAF2","1.02270308620078"
"SLC9A1","1.00039603960396"
"MCTP1","1.0021650879567"
"LINC02363","1"
"LINC02363","1"
"IPP","1"
"FGF7P2","1"
"CARD16","1"
"CLCNKB","1"
"CLCNKB","1"
"INPP5A","1.02023121387283"
"SRCIN1","1.01355578727841"
"UBE2DNL","1"
"LINC00301","1.00989890480202"
"MAD2L1P1","1.0547809993831"
"ZNF785","1"
"ZNF785","1"
"EFCAB13","1"
"WFIKKN2","1"
"MGC32805","1"
"KLHL30-AS1","1"
"MIR6738","1.02293099854075"
"CASS4","0.982419855222337"
"STKLD1","1"
"ZSCAN20","1.00021061499579"
"FBLIM1","1.00604406317021"
"SYT16","1"
"RAB39A","1"
"TRIM72","1.00395339159384"
"CLDN19","1.02391975308642"
"FBXO8","1.12135761589404"
"SPIRE1","0.980648833238475"
"PLA2G4C","1"
"CLDN20","1"
"UBE2O","0.994956287827841"
"ITGA11","1.0033698399326"
"AGBL3","0.998737904922171"
"B3GNT5","1.01903735632184"
"SLC12A1","1.00483481063658"
"CCDC158","1.00147430497051"
"ATP6V1B1","0.941377997716026"
"VWA5B2","1"
"CFAP92","0.919516407599309"
"CYP2U1","0.999368553988634"
"PRKN","1.00042122999158"
"PTPN7","1.00209555741827"
"DOK5","1"
"PRR16","1"
"HMGCLL1","1"
"CSPP1","1.00410798122066"
"MITF","0.990750256937307"
"S100Z","1"
"ERCC8","0.999790751203181"
"EMSLR","1"
"LINC01580","0.986085150571132"
"MS4A3","1"
"RHBDL2","0.90184578230119"
"FCER1G","1"
"MPHOSPH6","0.995412844036697"
"HYDIN","0.955685223150923"
"IHO1","1.00021061499579"
"PRKD3","0.744746109280927"
"ABCC11","1"
"ESYT3","1.00063131313131"
"SCEL","1.00695029486099"
"ZSWIM2","1"
"EXOC3L1","1"
"FAM230I","1"
"KLHL14","1"
"KLHL14","1"
"LINC01234","0.989686924493554"
"ACAN","1"
"NLRP12","1"
"TSPEAR-AS1","1"
"TSPEAR-AS2","1"
"CCDC190","1.00063184498736"
"FILIP1L","1.21787778187631"
"PDILT","1.00786782061369"
"LINC00051","1"
"LKAAEAR1","1"
"EQTN","1.0033698399326"
"LINC00317","1"
"SLC9C2","1"
"RAG1","1.00926315789474"
"RASGEF1B","1"
"CFAP251","1"
"OR2C3","1"
"CDHR1","1.00063184498736"
"ARHGAP20","1"
"TMEM26","1"
"CLRN1","1"
"CLRN1","1"
"LINC00612","1"
"TRPV5","0.995921696574225"
"LHFPL5","1"
"KLHL40","1"
"CENPI","1.00463157894737"
"C10orf53","1"
"USP6","0.997923588039867"
"TLL1","1"
"ARHGAP25","1"
"RPL13AP17","1"
"LINC01657","1"
"VASH2","0.999789429353548"
"STPG2","1"
"PTGFR","1"
"CACNB2","1.00878293601004"
"MPP4","1"
"MIER1","1.00680973999175"
"KLHL3","1"
"ATP6V0A2","1.00063184498736"
"ENTPD3","1"
"CD96","1"
"ST6GAL2","1"
"LINC01126","1"
"PAXBP1","0.977939688322202"
"FAM9A","1"
"PALD1","0.999368553988634"
"FGD6","1.01367279585101"
"SLC9B1P3","1"
"SLC9B1","1"
"ARL17B","1.0064308681672"
"ATF2","1.00063157894737"
"TDH","1"
"FCHO2","1.00105196717862"
"TMEM74","1.00084175084175"
"NAMPTP1","1.02267998335414"
"STX19","1.00782722133643"
"PBLD","0.98801652892562"
"IGHV7-81","1"
"MTUS2-AS1","1"
"TAT","1"
"FBXO36","1.00695029486099"
"LINC00421","1"
"USP6NL-AS1","1"
"OR8B8","1"
"CLEC7A","1.00063157894737"
"TBX2-AS1","1"
"RGR","1.00021061499579"
