"Gene_Symbol","Andocsb"
"ZNF99","1"
"ZNF99","1"
"SIGLECL1","1"
"LDHAL6A","1"
"MRGPRX2","1"
"NTN5","0.999789429353548"
"KLF17","1"
"CCDC105","1"
"C11orf42","1"
"POM121L15P","1"
"ZNF486","1.00393391030685"
"EXD1","1"
"NBPF4","1"
"ZNF663P","1"
"LINC00955","1.01137940605051"
"LINC01517","1.00313610704579"
"LINC00479","1.03425327852809"
"LINC02907","1"
"SHOC1","1"
"SLC22A24","1"
"FMO9P","1.00056163998877"
"C7orf33","1"
"ACER1","1.00122950819672"
"OSTCP1","0.999578947368421"
"LINC00305","1"
"BFSP2-AS1","1"
"BFSP2-AS1","1"
"MIA2","0.999159310634721"
"GPHB5","1"
"DCD","1.00014040999719"
"ZDHHC19","1"
"ALG14","0.983427957649225"
"TMEM237","1.03102688118975"
"ZNF564","1.05941845764855"
"B3GALT6","1.01990944200293"
"SNX21","0.992352860849379"
"RHOB","1.00611620795107"
"CBS","1"
"SPINK6","1"
"C22orf39","0.997698005698006"
"DPCD","0.983370066119014"
"CYP39A1","1"
"ZNF121","1.01345488714289"
"DTYMK","0.998771409987714"
"BRICD5","1.00026381743833"
"VSIG10","1.02087266624712"
"NT5E","1.01971563981043"
"ASPHD1","0.964594771684855"
"DMRTC1B","1"
"TRIM37","1.05326927094213"
"ARHGEF28","1.12303159605811"
"RSPO2","1.0195255091329"
"GPNMB","0.998328458002507"
"ARSB","0.994991652754591"
"DGLUCY","1.00854700854701"
"TMEM239","0.999860354699064"
"ZNF670","1.00737956001114"
"MRAP","1"
"ZNF24","1.00056163998877"
"CNOT1","1.00285198766079"
"SPTLC1","1.02179928460552"
"ASH1L-AS1","0.948186397347305"
"SETMAR","0.99959266802444"
"XG","1"
"C8orf76","1.05676782877686"
"TLCD5","1.00197238658777"
"TMEM53","1.01628070175439"
"DNAJA3","0.929371407801177"
"NOL9","1.0000985901607"
"DDX51","0.927002319552463"
"MIR31HG","0.989060731799321"
"SPIN3","0.978695722881769"
"TMTC4","0.977306137449467"
"TMEM185A","1.03450796136779"
"CARF","1.00566679259539"
"C5orf58","1"
"CCDC60","1"
"USB1","0.996427153632394"
"NLGN4Y","0.999587288485349"
"MSRB3","1.0040701754386"
"ADIG","1"
"SUGT1P3","0.981064938365739"
"PPP1R21","1.03701133472126"
"CFAP91","1"
"PHF21A","0.986177406523469"
"GDAP2","0.95598609041232"
"WFDC8","1"
"WFDC8","1"
"MBLAC1","0.978982300884956"
"ZMYM3","0.991337399451958"
"CD300LB","1.01885521885522"
"C3orf33","1"
"DMAC2L","1.00511524342541"
"SLURP2","1"
"SNX32","1"
"TRIM74","1.00343098442861"
"POU2AF2","1"
"PLEKHS1","0.999859708193042"
"TRMT44","1"
"MANEA","1.00252737994945"
"C5orf46","1.41963453668814"
"IZUMO1","1"
"PTPRO","1"
"CABP4","1.00726809272846"
"GRIK1-AS1","1"
"ICA1L","1.00148568341437"
"ZCCHC13","1"
"ARHGEF10","1.00685871056241"
"LINC01869","1"
"LINC02712","1"
"LINC02712","1"
"BAALC-AS2","1"
"CREBRF","0.885657931811778"
"ZNF396","1.00053792361485"
"C1QTNF9","1"
"KATNAL2","1"
"CTNNA3","1"
"SDCCAG8","1.1172604908947"
"COCH","1.04108122574602"
"ARL17B","1.01897253123087"
"C1orf210","1.00482728355589"
"ZNF638","1.00400827514869"
"CERS3","0.999789429353548"
"DNAJC5B","1"
"KLHL29","1.00062201948994"
"CKAP2","1.10249610641074"
"MORN1","1"
"FANCM","1.00070204998596"
"TRMT2B","1.01576354679803"
"C9orf43","1"
"NOCT","1.04886150872743"
"HAVCR2","1.00140409997192"
"UHRF1BP1L","1.00014005602241"
"CYP19A1","1"
"WDR49","1"
"NPAS4","1"
"SVOPL","1"
"LHFPL3-AS1","1"
"LHFPL3-AS1","1"
"LIF-AS2","1"
"ITPKB","1.00152905198777"
"GABRA2","0.999453103636861"
"SUPT6H","1.01656837966863"
"NFS1","1.00369209334727"
"LRRC18","0.994678673761768"
"SLCO4A1-AS1","0.978348882239042"
"COG3","0.999789960092418"
"DRAXIN","1"
"HELQ","0.999301919720768"
"STAP1","1"
"AQP12B","1"
"GIN1","1.00153609831029"
"DENND4A","1.01750824663791"
"SIAE","0.994002068252327"
"GINS4","1.02297427431559"
"BTG4","1.01446222971076"
"CALHM1","1"
"NT5C1B","1"
"NR1H4","1.00056163998877"
"LINC00656","1"
"PADI2","1.03865546218487"
"CST9","1.05501754385965"
"LYG2","1.0039298245614"
"LINC00161","1"
"CTNNB1","1.19903762029746"
"APH1A","1.01962323390895"
"FBXO7","0.999456816947311"
"SMIM11","1.01171458998935"
"ZNF85","0.993308239230448"
"HILPDA","0.906640664066407"
"ANKRD13C","0.99380123975205"
"MOXD1","0.996234309623431"
"C19orf47","1"
"ZNF808","0.980330672748005"
"HEATR3","0.998992544831755"
"ATF6B","0.940844275024707"
"CEP70","1.00019190174631"
"SERPINC1","1"
"RAD51B","1.01407867494824"
"RGS7","1.00084175084175"
"TSC22D4","1.00603582554517"
"OSCAR","1"
"NAALAD2","1.00238696995226"
"RNA5SP530","1"
"RNA5SP530","1"
"GSTCD","1.01802917698871"
"CD80","1"
"ZNF778-DT","1.0413525245602"
"OLFM3","1.00056116722783"
"CFAP91","1"
"RHOF","0.999804725639523"
"GPRIN2","1.1719401520726"
"SLC25A48","1"
"APOBEC4","1"
"YIF1B","1.02140771975349"
"SETD6","0.993228897687497"
"GPR62","1"
"DYNLRB1","1"
"ETV4","0.987498203764909"
"ZNF70","1.00014035087719"
"MYO18B","1"
"NFIA","1.00216802168022"
"TTC30B","1.01866053169734"
"LENG9","0.958910129641837"
"NKAIN2","1"
"LIPT2-AS1","0.985263670685666"
"SERPINB8","1.00042122999158"
"BCL6B","1.00070175438596"
"ZNF57","1.01298603246508"
"EPHA7","1.00926705981466"
"ZFYVE16","1.0021196951247"
"RNF32","0.993338662403411"
"DUOXA1","1"
"RPRML","1"
"CFAP61","1"
"CNST","1.00014040999719"
"ZNF594-DT","1"
"FAM151A","1"
"SRRM2","0.999786734911495"
"LAPTM4B","0.99790004199916"
"KCNS2","1.00014040999719"
"CCDC187","0.980297547245678"
"CEMIP","0.978584540077504"
"STAU2","0.999093255213783"
"NLGN4X","1.00322942993541"
"TACC1","1.00462747290289"
"TYMS","1.0017053413728"
"L3MBTL4","1"
"CDH7","1"
"TBC1D16","0.996899722044045"
"OR2L13","1"
"SPATA6L","0.980021893814997"
"KCNMB1","1.00280701754386"
"CALHM3","1.01013420980553"
"GLYATL2","1"
"PDE4D","1.0051951698961"
"TAF2","1.01229750502542"
"TRPM3","1.0060350877193"
"SLC9A1","1.00026402640264"
"LINC02363","1"
"LINC02363","1"
"IPP","1.00559192580469"
"FGF7P2","1"
"CARD16","1"
"SEPTIN2","1.00631051175657"
"CLCNKB","1.02975438596491"
"INPP5A","0.993669143958161"
"SRCIN1","1.00646506777894"
"UBE2DNL","1"
"LINC00301","1.00659926986801"
"MAD2L1P1","1.04593872095414"
"ZNF785","1"
"ZNF785","1"
"EFCAB13","1"
"WFIKKN2","1"
"KLHL30-AS1","1.01309374564703"
"MIR6738","1.02425126815371"
"CNTN1","1.00419639110365"
"CASS4","0.982833505687694"
"STKLD1","1"
"DPP6","1"
"SYT16","1"
"RAB39A","1"
"TRIM72","1"
"CLDN19","0.99511316872428"
"FBXO8","1.07593818984547"
"SPIRE1","0.980648833238475"
"PLA2G4C","1"
"CLDN20","1"
"UBE2O","1.00481954718673"
"ITGA11","1.00224655995507"
"AGBL3","0.998737904922171"
"ZBED1","0.993720883127405"
"PHTF2","1.00567107750473"
"SLC12A1","1.00322320709106"
"CCDC158","1.00070204998596"
"ATP6V1B1","0.952670980839995"
"VWA5B2","1"
"CFAP92","0.919516407599309"
"PRKN","1.00028081999438"
"DOK5","1"
"WDR37","1.00158255670828"
"S100Z","1.00668850668851"
"ERCC8","0.999790751203181"
"EMSLR","1"
"LINC01580","0.986085150571132"
"MS4A3","1"
"RHBDL2","0.957506756368236"
"FCER1G","1"
"HYDIN","1.02155819347796"
"ABCC11","1"
"ESYT3","1.00042087542088"
"SCEL","1.00140114894213"
"ZSWIM2","1"
"EXOC3L1","1"
"FAM230I","1.00042122999158"
"KLHL14","1"
"KLHL14","1"
"LINC01234","0.988090853284223"
"NLRP12","1"
"TSPEAR-AS1","1"
"TSPEAR-AS2","1"
"CCDC190","1"
"FGFR4","1.00221575959008"
"FILIP1L","1.18381900897578"
"PDILT","0.997901914503016"
"LINC00051","1"
"LKAAEAR1","1"
"ATF3","0.988491574188245"
"EQTN","1.00224655995507"
"LINC00317","1"
"SLC9C2","1"
"RAG1","1.00617543859649"
"RASGEF1B","1"
"CFAP251","1.00370233246946"
"OR2C3","1"
"CDHR1","1"
"ARHGAP20","1.00210084033613"
"TMEM26","1"
"CLRN1","1"
"CLRN1","1"
"IDH1","1.00163332756865"
"ABCC4","0.999299425528934"
"LINC00612","1"
"TRPV5","0.995921696574225"
"LHFPL5","1.01506276150628"
"KLHL40","1"
"C10orf53","1"
"SYT9","1.00070204998596"
"LPGAT1","1.01914622039427"
"USP6","0.997923588039867"
"TLL1","1"
"ARHGAP25","1"
"RPL13AP17","1.00126368997473"
"LINC01657","1.00126368997473"
"VASH2","0.999789429353548"
"STPG2","1"
"PTGFR","1"
"MPP4","1.00393147992137"
"MIER1","1.00220112807814"
"KLHL3","1"
"ATP6V0A2","1.00196573996069"
"ENTPD3","1"
"CD96","1"
"ST6GAL2","1"
"LINC01126","1.04633529907329"
"PAXBP1","0.977939688322202"
"FAM9A","1.00140409997192"
"PALD1","0.999368553988634"
"FGD6","1.34301286243732"
"SLC9B1P3","1"
"SLC9B1","1"
"FCHO2","1.01395609790308"
"TMEM74","1.00014029180696"
"PGPEP1","1.00014040999719"
"NAMPTP1","1.01511998890276"
"CALN1","1"
"STX19","1.05802773348795"
"IGHV7-81","1"
"MTUS2-AS1","1"
"TAT","1"
"LINC00421","1"
"GOSR1","1.01827956989247"
"RPRD1A","1.0029831387808"
"USP6NL-AS1","1"
"OR8B8","1"
"TBX2-AS1","1"
"RGR","1.00014040999719"
"AKR1E2","1"
"CCDC148-AS1","1"
"C1orf43","0.995015048908954"
"KCNIP2","1.00021057064645"
"B3GALT5-AS1","1.01179245283019"
"PGC","1"
